Estimate summary,,,,,,,,,,,,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,,,,,,,,,,,,
0,334.2,4010.4,USD,,,,,,,,,,,,,,,,,
,,* Includes upfront cost,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detailed Estimate,,,,,,,,,,,,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary,,,,,,,,,,,
My Estimate,Asia Pacific (Mumbai),Direct Connect,AWS Direct Connect,0,334.2,4010.4,USD,,"Number of ports (1), Location (Sify Rabale), Port type (Dedicated), Port capacity (1G), Data transfer out (2.5 TB), Data transfer in (free) (2.5 TB)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Acknowledgement,,,,,,,,,,,,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,,,,
